dossier_id,mibig_accession,organism_name,primary_product_raw,mibig_bgc_class_raw,primary_reference_year,primary_reference_doi,genes,metabolites,experiments,claims,conflicts
M4-FUNG-0200,BGC0001405,Chaetomium globosum CBS 148.51,"seed 2,447,651–2,507,160; chaetoviridin E; 11-epichaetomugilin A",,,,0,0,0,1,1
M4-FUNG-0201,BGC0001445,Aspergillus flavus NRRL 3357,"seed 704,693–736,312; leporin B",,,,0,0,0,1,1
M4-FUNG-0202,BGC0001446,Aspergillus flavus NRRL 3357,"seed 2,642,293–2,658,105; asparasone A",,,,0,0,0,1,1
M4-FUNG-0203,BGC0001449,Thermothelomyces thermophilus,"seed 1,175,000–1,217,500; UCS1025A",,,,0,0,0,1,1
M4-FUNG-0204,BGC0001450,Penicillium terrestre,"macrophorin A; 4'-oxomacrophorin A, D and E",,,,0,0,0,1,1
M4-FUNG-0205,BGC0001466,Talaromyces wortmannii,wortmanamide,,,,0,0,0,1,1
M4-FUNG-0206,BGC0001475,Aspergillus terreus NIH2624,"seed 472,400–482,020; aspterric acid",,,,0,0,0,1,1
M4-FUNG-0207,BGC0001481,Fusarium fujikuroi IMI 58289,alpha-acorenol,,,,0,0,0,1,1
M4-FUNG-0208,BGC0001489,Cladonia uncialis subsp. uncialis,MIBiG product label 6-hydroxymellein,,,,0,0,0,1,1
M4-FUNG-0209,BGC0001508,Penicillium roqueforti,andrastin A,,,,0,0,0,1,1
M4-FUNG-0210,BGC0001515,Aspergillus nidulans FGSC A4,aspercryptins,,,,0,0,0,1,1
M4-FUNG-0211,BGC0001516,Aspergillus flavus NRRL3357,aspergillic acid,,,,0,0,0,1,1
M4-FUNG-0212,BGC0001517,Aspergillus terreus NIH2624,asperphenamate,,,,0,0,0,1,1
M4-FUNG-0213,BGC0001518,Aspergillus oryzae RIB40,astellolide A,,,,0,0,0,1,1
M4-FUNG-0214,BGC0001527,Gelatoporia subvermispora,basidioferrin,,,,0,0,0,1,1
M4-FUNG-0215,BGC0001528,Historical record: Phoma betae,betaestacin I; betaestacin II; four-gene pathway,,,,0,0,0,1,1
M4-FUNG-0216,BGC0001541,Cercospora beticola,cercosporin,,,,0,0,0,1,1
M4-FUNG-0217,BGC0001542,Cercospora zeina,MIBiG product label cercosporin; native in-vitro canonical cercosporin production not detected,,,,0,0,0,1,1
M4-FUNG-0218,BGC0001544,Aspergillus campestris IBT 28561,chlorflavonin,,,,0,0,0,1,1
M4-FUNG-0219,BGC0001545,Fusarium graminearum PH-1,chrysogine,,,,0,0,0,1,1
M4-FUNG-0220,BGC0001547,Aspergillus stellatus,citreohybridonol,,,,0,0,0,1,1
M4-FUNG-0221,BGC0001557,"Canonical source: Paecilomyces divaricatus, TaxID 644132",cornexistin,,,,0,0,0,1,1
M4-FUNG-0222,BGC0001563,"Canonical source: Cochliobolus pallescens, TaxID 318706",curvupallide-B,,,,0,0,0,1,1
M4-FUNG-0223,BGC0001565,"Canonical source/MIBiG: Beauveria felina, TaxID 37994",cyclosporin C,,,,0,0,0,1,1
M4-FUNG-0224,BGC0001571,Nodulisporium sp.,demethoxyviridin,,,,0,0,0,1,1
M4-FUNG-0225,BGC0001573,Claviceps africana,dihydrolysergic acid,,,,0,0,0,1,1
M4-FUNG-0226,BGC0001578,Talaromyces stipitatus ATCC 10500,duclauxin,,,,0,0,0,1,1
M4-FUNG-0227,BGC0001585,Escovopsis weberi,melinacidin IV,,,,0,0,0,1,1
M4-FUNG-0228,BGC0001600,Fusarium graminearum,fusarielin H,,,,0,0,0,1,1
M4-FUNG-0229,BGC0001604,Fusarium fujikuroi,"gibberellins, including gibberellic acid GA3",,,,0,0,0,1,1
M4-FUNG-0230,BGC0001606,Fusarium fujikuroi IMI 58289,gibepyrone A,,,,0,0,0,1,1
M4-FUNG-0231,BGC0001609,Trichoderma virens Gv29-8,gliovirin,,,,0,0,0,1,1
M4-FUNG-0232,BGC0001613,Trichoderma hypoxylon,harzianum B,,,,0,0,0,1,1
M4-FUNG-0233,BGC0001616,Aspergillus japonicus,himeic acid A,,,,0,0,0,1,1
M4-FUNG-0234,BGC0001617,Stereum hirsutum FP-91666 SS1,hirsutene,,,,0,0,0,1,1
M4-FUNG-0235,BGC0001621,Aspergillus flavus NRRL3357,imizoquin A; imizoquin B; imizoquin C; imizoquin D; TMC-2A; TMC-2B,,,,0,0,0,1,1
M4-FUNG-0236,BGC0001624,Pestalotiopsis fici,iso-A82775C,,,,0,0,0,1,1
M4-FUNG-0237,BGC0001626,Stachybotrys chlorohalonata IBT 40285,isoindolinone,,,,0,0,0,1,1
M4-FUNG-0238,BGC0001636,Curvularia clavata,KK-1,NRPS (Type I),,,0,0,0,1,0
M4-FUNG-0239,BGC0001642,Fusarium fujikuroi IMI 58289,koraiol,,,,0,0,0,1,0
M4-FUNG-0240,BGC0001659,Fusarium equiseti,mangicol A,,,,0,0,0,1,0
M4-FUNG-0241,BGC0001668,Aspergillus nidulans FGSC A4,microperfuranone,NRPS (Type I); NRPS-like core enzyme,,,0,0,0,1,0
M4-FUNG-0242,BGC0001677,Penicillium roqueforti,mycophenolic acid,PKS (Unknown),,,0,0,0,1,0
M4-FUNG-0243,BGC0001679,Aspergillus nidulans FGSC A4,N-acetyltryptophan,NRPS (Type I); NRPS-like IvoA pathway,,,0,0,0,1,0
M4-FUNG-0244,BGC0001691,Thelonectria discophora,nectrisine,other (iminosugar biosynthesis),,,0,0,0,1,0
M4-FUNG-0245,BGC0001697,Neurospora crassa OR74A,historical: neurosporin A; current locus interpretation: sordarial,PKS; pks-6 HR-PKS locus,,,0,0,0,1,0
M4-FUNG-0246,BGC0001699,Aspergillus nidulans FGSC A4,nidulanin A,NRPS (Type I),,,0,0,0,1,0
M4-FUNG-0247,BGC0001706,Hypoxylon pulicicidum,nodulisporic acid F,terpene / indole diterpene,,,0,0,0,1,0
M4-FUNG-0248,BGC0001708,Aspergillus novofumigatus IBT 16806,novofumigatonin,PKS + terpene meroterpenoid,,,0,0,0,1,0
M4-FUNG-0249,BGC0001712,Aspergillus steynii IBT 23096,ochrindole A,other; bis-indolyl benzenoid candidate pathway,,,0,0,0,1,0
M4-FUNG-0250,BGC0001717,Penicillium simplicissimum,okaramine B,NRPS (Type I); indole alkaloid,,,0,0,0,1,0
M4-FUNG-0251,BGC0001718,Aspergillus aculeatus ATCC 16872,okaramine D,NRPS (Type I); indole alkaloid,,,0,0,0,1,0
M4-FUNG-0252,BGC0001720,Beauveria bassiana ARSEF 2860,oosporein,PKS (Unknown); dibenzoquinone polyketide,,,0,0,0,1,0
M4-FUNG-0253,BGC0001722,Aspergillus nidulans FGSC A4,aspernidine A,PKS (Unknown); prenylated isoindolinone alkaloid,,,0,0,0,1,0
M4-FUNG-0254,BGC0001724,Penicillium oxalicum 114-2,oxaleimide C,NRPS (Type I) + PKS; collaborative HRPKS/PKS-NRPS pathway,,,0,0,0,1,0
M4-FUNG-0255,BGC0001729,Penicillium brasilianum,paraherquonin,PKS + terpene meroterpenoid,,,0,0,0,1,0
M4-FUNG-0256,BGC0001734,historical record: Aspergillus sp.; original isolation: Penicillium sp. CNL-338; later pathway study: Aspergillus flavipes CNL-338,penilumamide A,NRPS (Type I),,,0,0,0,1,0
M4-FUNG-0257,BGC0001738,Pyrenochaetopsis sp.,phomasetin; wakodecalines A; wakodecalines B,PKS-NRPS hybrid,,,0,0,0,1,0
M4-FUNG-0258,BGC0001741,Phyllosticta cirsii,phyllostictine A; phyllostictine B,PKS-NRPS hybrid; tetramic acid,,,0,0,0,1,0
M4-FUNG-0259,BGC0001749,Pyricularia oryzae 70-15 (pathway paper uses Magnaporthe oryzae),MIBiG: epipyriculol; defining genetics: pyriculol/pyriculariol family,PKS (Unknown); salicylaldehyde-family polyketide,,,0,0,0,1,0
M4-FUNG-0260,BGC0001768,current taxonomy: Fusarium vanettenii 77-13-4; historical/MIBiG: [Nectria] haematococca mpVI 77-13-4 / Fusarium solani,sansalvamide,NRPS (Type I); cyclic pentadepsipeptide,,,0,0,0,1,0
M4-FUNG-0261,BGC0001775,Cordana terrestris,sespendole,terpene; indole diterpene,,,0,0,0,1,0
M4-FUNG-0262,BGC0001776,Penicillium janthinellum,shearinine D,terpene (Unknown); indole diterpene,,,0,0,0,1,0
M4-FUNG-0263,BGC0001793,Chaetothyriaceae sp.,swainsonine,NRPS (Type I) + PKS (Unknown); SWN alkaloid pathway,,,0,0,0,1,0
M4-FUNG-0264,BGC0001794,Alternaria oxytropis,swainsonine,NRPS (Type I) + PKS (Unknown); SWN alkaloid pathway,,,0,0,0,1,0
M4-FUNG-0265,BGC0001811,Fusarium asiaticum,trichodiene-11-one,terpene (Unknown); trichothecene pathway,,,0,0,0,1,0
M4-FUNG-0266,BGC0001820,historical MIBiG: Gliocladium sp.; defining study: Clonostachys rogersoniana (formerly Gliocladium sp. 6.102),verticillin,NRPS (Type I); dimeric epipolythiodioxopiperazine,,,0,0,0,1,0
M4-FUNG-0267,BGC0001821,historical duplicate record: Gliocladium sp.,verticillins,NRPS (Type I),,,0,0,0,1,0
M4-FUNG-0268,BGC0001827,Sarocladium sp. 'schorii'; defining study proposes Sarocladium schorii for former Acremonium strictum IMI 501407,xenovulene A,PKS (Unknown); fungal meroterpenoid/tropolone-terpene hybrid chemistry,,,0,0,0,1,0
M4-FUNG-0269,BGC0001839,Aspergillus sp. Z5,squalestatin S1,terpene (Hemiterpene),,,0,0,0,1,0
M4-FUNG-0270,BGC0001854,Trichoderma harzianum t-22,tricholignan A,PKS (Iterative type I); collaborating HRPKS/NRPKS system,,,0,0,0,1,0
M4-FUNG-0271,BGC0001857,MIBiG: Aspergillus sp. CLMG-2019a; defining paper: Aspergillus burnettii,burnettramic acid A,NRPS (Type I) + PKS (Iterative type I) + other; PKS-NRPS-derived bolaamphiphile,,,0,0,0,1,0
M4-FUNG-0272,BGC0001858,Parastagonospora nodorum SN15,alternapyrone B; alternapyrone C; alternapyrone D; alternapyrone E; alternapyrone F,PKS; highly reducing polyketide synthase with P450 tailoring,,,0,0,0,1,0
M4-FUNG-0273,BGC0001865 v4,Parastagonospora nodorum SN15,elsinochrome C,iterative type-I PKS / perylenequinone,,,0,0,0,4,3
M4-FUNG-0274,BGC0001866 v4,Byssochlamys spectabilis,viriditoxin,polyketide / xanthone dimer,,,0,0,0,4,3
M4-FUNG-0275,BGC0001874 v4,Aspergillus flavus,alpha-cyclopiazonic acid,hybrid PKS-NRPS plus prenylation/oxidation,,,0,0,0,4,3
M4-FUNG-0276,BGC0001881 v4,Pyricularia grisea,pyrichalasin H,iterative PKS-NRPS cytochalasan pathway,,,0,0,0,4,3
M4-FUNG-0277,BGC0001882 v3,Penicillium rubens Wisconsin 54-1255,"chrysoxanthones A, B and C",PKS-associated xanthone candidate locus,,,0,0,0,4,3
M4-FUNG-0278,BGC0001886 v2,Claviceps purpurea 20.1,secalonic acids A/B/C; endocrocin; clavorubin,polyketide / anthraquinone-ergochrome pathway,,,0,0,0,4,3
M4-FUNG-0279,BGC0001888 v2,Ustilago maydis 521,"mannosylerythritol lipids A, B and C",other; glycolipid biosynthesis,,,0,0,0,4,3
M4-FUNG-0280,BGC0001893 v3,Botrytis cinerea B05.10,abscisic acid,sesquiterpenoid ABA biosynthesis,,,0,0,0,4,3
M4-FUNG-0281,BGC0001899 v3,Leptosphaeria maculans JN3; current MIBiG display uses Plenodomus lingam JN3,abscisic acid,PKS-associated fungal ABA pathway,,,0,0,0,4,3
M4-FUNG-0282,BGC0001901 v3,Trichoderma harzianum,tricholignan A,PKS-associated tricholignan pathway,,,0,0,0,4,3
M4-FUNG-0283,BGC0001906 v2,Daldinia eschscholzii IFB-TL01,"2-acetyl-1,3,6,8-tetrahydroxynaphthalene; 1,3,6,8-tetrahydroxynaphthalene",PKS / naphthalene polyketides,,,0,0,0,4,3
M4-FUNG-0284,BGC0001907 v2,Daldinia eschscholzii IFB-TL01,chromane,PKS / chromane polyketides,,,0,0,0,4,3
M4-FUNG-0285,BGC0001909 v3,Strobilurus tenacellus,strobilurin A,highly reducing PKS / beta-methoxyacrylate,,,0,0,0,4,3
M4-FUNG-0286,BGC0001913 v3,fungal sp. ATCC 74256,phomoidride,HR-PKS / fungal dimeric anhydride,,,0,0,0,4,3
M4-FUNG-0287,BGC0001915 v3,Phoma betae,betaestacin I; betaestacin II,sesterterpene,,,0,0,0,4,3
M4-FUNG-0288,BGC0001923 v3,Acremonium egyptiacum,ascochlorin,PKS-terpene meroterpenoid,,,0,0,0,4,3
M4-FUNG-0289,BGC0001924 v3,Acremonium egyptiacum,ascofuranone,terpene / multilocus meroterpenoid,,,0,0,0,4,3
M4-FUNG-0290,BGC0001926 v3,Talaromyces verruculosus,chrodrimanin B,PKS-terpene meroterpenoid,,,0,0,0,4,3
M4-FUNG-0291,BGC0001936 v3,Hypoxylon pulicicidum,nodulisporic acid F,indole diterpene / terpene,,,0,0,0,4,3
M4-FUNG-0292,BGC0001954 v2,Talaromyces wortmannii,wortmanamide A; wortmanamide B,truncated PKS-NRPS (PKS-C) / long-chain N-acyl amide,,,0,0,0,4,3
M4-FUNG-0293,BGC0001966 v3,Phoma sp. F3723,BII-rafflesfungin,iterative type-I PKS + type-I NRPS,,,0,0,0,4,4
M4-FUNG-0294,BGC0001969 v3,Talaromyces wortmannii,asperterpenoid A,sesterterpenoid / terpene,,,0,0,0,4,4
M4-FUNG-0295,BGC0001976 v3,Phoma sp. CGMCC 10481,eupenifeldin,bistropolone-humulene meroterpenoid,,,0,0,0,4,3
M4-FUNG-0296,BGC0001977 v3,Phoma sp.,eupenifeldin,historical other/retired representation of eupenifeldin pathway,,,0,0,0,4,4
M4-FUNG-0297,BGC0001978 v3,Aspergillus sp. CLMG-2019a / Aspergillus burnettii study provenance,burnettramic acid,PKS-NRPS-derived burnettramic pathway,,,0,0,0,4,4
M4-FUNG-0298,BGC0001982 v3,Pyricularia grisea,pyrichalasin H,PKS-NRPS cytochalasan pathway,,,0,0,0,4,4
M4-FUNG-0299,BGC0001988 v3,Aspergillus novofumigatus IBT 16806,neosartorin,polyketide / xanthone heterodimer,,,0,0,0,4,4
M4-FUNG-0300,BGC0001989 v3,Kluyveromyces lactis,pulcherrimin via secreted pulcherriminic acid and iron complexation,cyclodipeptide-derived iron-chelating secondary metabolite,,,0,0,0,4,3
M4-FUNG-0301,BGC0001995 v3,Aspergillus oryzae RIB40,heptelidic acid (koningic acid),sesquiterpene lactone,,,0,0,0,4,4
M4-FUNG-0302,BGC0001996 v2,Aspergillus oryzae RIB40,oryzine A; oryzine B,maleidride candidate pathway using fungal FAS + citrate synthase chemistry,,,0,0,0,4,4
M4-FUNG-0303,BGC0001998 v2,Aspergillus nidulans FGSC A4,aspernidgulene A1; aspernidgulene A2; aspernidgulene B1,PKS-associated cryptic polyene pathway,,,0,0,0,4,4
M4-FUNG-0304,BGC0002030 v3,Byssochlamys spectabilis,viriditoxin,polyketide / xanthone-dimer pathway,,,0,0,0,4,4
M4-FUNG-0305,BGC0002035 v3,Neonectria sp. DH2,ilicicolin H; ilicicolin J; 8-epi-ilicicolin H,PKS-NRPS 2-pyridone/decalin pathway,,,0,0,0,4,4
M4-FUNG-0306,BGC0002062 v2,Paecilomyces divaricatus,agnestin A; agnestin B,nonreducing PKS anthraquinone/xanthone-related pathway,,,0,0,0,4,4
M4-FUNG-0307,BGC0002063 v3,Cryptosporiopsis sp. 8999,cryptosporioptide A; cryptosporioptide B; cryptosporioptide C,iterative PKS / dimeric xanthone pathway,,,0,0,0,4,4
M4-FUNG-0308,BGC0002065 v2,Strobilurus tenacellus,strobilurin A,PKS-associated strobilurin pathway,,,0,0,0,4,4
M4-FUNG-0309,BGC0002066 v3,Trichoderma harzianum,harzianopyridone,iterative PKS-NRPS 2-pyridone pathway,,,0,0,0,4,4
M4-FUNG-0310,BGC0002067 v3,Penicillium oxalicum 114-2,atpenin B,iterative PKS-NRPS 2-pyridone pathway,,,0,0,0,4,4
M4-FUNG-0311,BGC0002093 v2,Talaromyces variabilis,ilicicolin H,PKS-NRPS 2-pyridone/decalin pathway,,,0,0,0,4,4
M4-FUNG-0312,BGC0002113 v3,Fusarium sp. 190-020-2,beauvericin,cyclooligomer depsipeptide / NRPS-type beauvericin pathway context,,,0,0,0,4,4
M4-FUNG-0313,BGC0002139 v3,Aspergillus burnettii FRR 5400,burnettiene A; preburnettiene A; preburnettiene B,iterative type I HR-PKS polyene-decalin pathway,,,0,0,0,3,3
M4-FUNG-0314,BGC0002146 v2,Cladobotryum sp. No. 11231 / Cladobotryum sp.,(-)-FR901483,"NRPS-centered alkaloid pathway with oxidative, reductive and phosphorylation tailoring",,,0,0,0,3,3
M4-FUNG-0315,BGC0002149 v2,Aspergillus alliaceus ATCC 20738,"14-hydroxypaspalinine; 14-(leucyloxy)paspalinine; 14-(N,N-dimethylleucyloxy)paspalinine",indole-diterpene pathway with monomodular NRPS-like aminoacyl tailoring,,,0,0,0,3,3
M4-FUNG-0316,BGC0002154 v2,Pyricularia oryzae 70-15,"1,3,6,8-tetrahydroxynaphthalene and DHN-melanin pathway products",nonreducing PKS DHN-melanin pathway,,,0,0,0,3,3
M4-FUNG-0317,BGC0002155 v3,Pyricularia oryzae 70-15,nectriapyrone; nectriapyrone C; nectriapyrone D and related analogs,iterative type I PKS plus O-methyltransferase alpha-pyrone pathway,,,0,0,0,3,3
M4-FUNG-0318,BGC0002156 v2,Fulvia fulva CBS 131901 (syn. Cladosporium fulvum),"1,3,6,8-tetrahydroxynaphthalene; DHN melanin",nonreducing PKS DHN-melanin pathway,,,0,0,0,4,3
M4-FUNG-0319,BGC0002157 v2,Aspergillus flavus,(-)-ditryptophenaline,NRPS diketopiperazine alkaloid pathway with P450 oxidative cyclization/dimerization,,,0,0,0,4,3
M4-FUNG-0320,BGC0002158 v2,Pyricularia oryzae 70-15,tenuazonic acid,unusual NRPS-PKS hybrid tetramic-acid pathway,,,0,0,0,4,3
M4-FUNG-0321,BGC0002159 v3,Coprinopsis cinerea okayama7#130,lagopodin B; lagopodin A and oxidized pathway products,cuparene-type sesquiterpene pathway with P450 oxidation network,,,0,0,0,4,3
M4-FUNG-0322,BGC0002161 v2,Pestalotiopsis fici W106-1,"scytalone; 1,3,8-trihydroxynaphthalene (T3HN); DHN melanin",nonreducing PKS DHN-melanin pathway,,,0,0,0,4,3
M4-FUNG-0323,BGC0002162,Aspergillus fischeri NRRL 181,"sesterfisherol; sesterfisheric acid; compounds 5, 6, 7a, 8",terpene (Unknown),,,2,3,3,3,2
M4-FUNG-0324,BGC0002163,Fusarium pseudograminearum CS3096,fusatin; fusatinic acid; 8-oxo-fusatin; 8-oxo-isopentenyladenine,other (other),,,3,3,3,3,2
M4-FUNG-0325,BGC0002164,Epichloë festucae,peramine,NRPS (Type I),,,2,2,3,3,2
M4-FUNG-0326,BGC0002165,Parastagonospora nodorum SN15,betaenone C; probetaenone I; stemphyloxin II; dehydroprobetaenone I; additional recorded congeners,PKS (Unknown),,,2,2,3,3,2
M4-FUNG-0327,BGC0002167,Aspergillus flavus NRRL 3357,"actinopolymorphol C; piperazine compounds 1/2; morpholine-containing hemiacetal; N,N-dioxide and sulfonated derivatives; 3-(p-hydroxyphenyl)-1,2-propanediol",NRPS (Type I),,,2,2,3,3,2
M4-FUNG-0328,BGC0002168,Aspergillus stellatus,calbistrin A; calbistrin C; decumbenones A/B/C; dioic-acid moiety,PKS (Unknown),,,3,3,3,3,2
M4-FUNG-0329,BGC0002169,Aspergillus aculeatus ATCC 16872,acurin A,NRPS (Type I); PKS (Unknown),,,3,1,3,3,2
M4-FUNG-0330,BGC0002170,Aspergillus stellatus (current MIBiG mapping),4-methyl-5-dimethyltetradecahexaene-β-ketolactone; 4-methyl-5-methylheptatriene-β-ketolactone,PKS (Unknown),,,2,3,3,3,2
M4-FUNG-0331,BGC0002171,Aspergillus niger ATCC 1015,pyrophen; campyrone B,NRPS (Type I); PKS (Unknown),,,2,3,3,3,2
M4-FUNG-0332,BGC0002172,Fusarium graminearum PH-1,fusaoctaxin A; fusatrixin; fusapentaxin,NRPS (Type I),,,4,2,3,3,2
M4-FUNG-0333,BGC0002173,Aspergillus fumigatus A1163,"fumihopaside A; compound 3; 21-β-H-hopane-3beta,22-diol",saccharide; terpene (Unknown),,,4,2,3,3,3
M4-FUNG-0334,BGC0002174,Epichloe festucae,ε-Poly-L-lysine,NRPS (Type I); ε-poly-L-lysine synthetase system,,,0,0,0,1,0
M4-FUNG-0335,BGC0002175,Aspergillus oryzae RIB40,YWA1,PKS (Unknown); spore-pigment polyketide precursor,,,0,0,0,1,0
M4-FUNG-0336,BGC0002176,Fusarium graminearum PH-1,culmorin; associated record also lists (+)-juniperol/longiborneol and 15-acetyldeoxynivalenol,terpene (Unknown); longiborneol/culmorin sesquiterpene pathway,,,0,0,0,1,0
M4-FUNG-0337,BGC0002177,Ustilaginoidea virens,"ustilaginoidins A, D, E, F, G, M, N and O",PKS (Unknown); bis-naphtho-γ-pyrone polyketides,,,0,0,0,1,0
M4-FUNG-0338,BGC0002178,Fusarium graminearum PH-1,gramillin A; gramillin B,NRPS (Type I); bicyclic lipopeptides,,,0,0,0,1,0
M4-FUNG-0339,BGC0002179,Alternaria alternata,tentoxin,NRPS (Type I); cyclic tetrapeptide,,,0,0,0,1,0
M4-FUNG-0340,BGC0002180,Aspergillus nidulans FGSC A4,"(+)-asperlin; (2Z,4Z,6E)-octa-2,4,6-trienoic acid",PKS (Unknown); asperlin polyketide pathway,,,0,0,0,1,0
M4-FUNG-0341,BGC0002181,Rhodocybe pseudopiperita,pleuromutilin,terpene (Unknown); diterpene antibiotic,,,0,0,0,1,0
M4-FUNG-0342,BGC0002182,Trichoderma virens,viridin,other (other); steroidal/furanosteroid secondary-metabolite pathway,,,0,0,0,1,0
M4-FUNG-0343,BGC0002183,Wickerhamiella pararugosa,enterobactin,MIBiG: NRPS (Type I); functionally a horizontally acquired bacterial-type enterobactin operon,,,0,0,0,1,0
M4-FUNG-0344,BGC0002184,Aspergillus clavatus NRRL 1,ophiobolin C; zizanin-A (historical MIBiG labels); directly validated core product ophiobolin F,terpene (Unknown); sesterterpene pathway,,,0,0,0,1,0
M4-FUNG-0345,BGC0002185,Penicillium sp. sh18; canonical source lists Penicillium sp.,gregatin A,PKS (Unknown); chain-fused fungal polyketide,,,0,0,0,1,0
M4-FUNG-0346,BGC0002186,Fusarium graminearum PH-1,fusaristatin A,NRPS (Type I); PKS (Unknown); lipopeptide hybrid pathway,,,0,0,0,1,0
M4-FUNG-0347,BGC0002187,Pochonia chlamydosporia 170,"monorden D; monocillin II, IV, V, VI, VII; pochonin M",PKS (Unknown); radicicol/resorcylic acid lactone family,,,0,0,0,1,0
M4-FUNG-0348,BGC0002188,Fusarium pseudograminearum CS3096,W493 A; W493 B,NRPS (Type I); PKS (Unknown); hybrid lipopeptide pathway,,,0,0,0,1,0
M4-FUNG-0349,BGC0002189,Fusarium pseudograminearum CS5834 in canonical source; defining paper refers to C5834,fusaristatin A,NRPS (Type I) in MIBiG; functionally homologous fusaristatin hybrid pathway context,,,0,0,0,1,0
M4-FUNG-0350,BGC0002190,Acremonium chrysogenum ATCC 11550,"sorbicillin-family sorbicillinoids including sorbicillin, sorbicillinol, oxosorbicillinol and dimeric derivatives",PKS (Unknown); sorbicillinoid polyketide pathway,,,0,0,0,1,0
M4-FUNG-0351,BGC0002191,Fusarium graminearum PH-1,"prolipyrone B; gibepyrone D in MIBiG; overexpression also yields gibepyrones A, B and G",PKS (Unknown); stand-alone α-pyrone PKS programme,,,0,0,0,1,0
M4-FUNG-0352,BGC0002192,fungal sp. No.14919; species unresolved in canonical source,FR901512,PKS (Unknown); natural statin pathway,,,0,0,0,1,0
M4-FUNG-0353,BGC0002193,Aspergillus terreus NIH2624,phenguignardic acid,MIBiG other (other); NRPS-like A-T-TE enzyme pathway,,,0,0,0,1,0
M4-FUNG-0354,BGC0002194,Epicoccum nigrum,epipyrone A (orevactaene),PKS (Unknown); glycosylated 2-pyrone polyketide,,,0,0,0,1,0
M4-FUNG-0355,BGC0002195,Aspergillus oryzae RIB40,kojic acid,other (other); kojic-acid pathway,,,0,0,0,1,0
M4-FUNG-0356,BGC0002196,Penicillium crustosum,clavatol,PKS (Unknown); aromatic polyketide building-block pathway,,,0,0,0,1,0
M4-FUNG-0357,BGC0002197,Penicillium crustosum,terrestric acid,NRPS (Type I); PKS (Unknown); PKS-NRPS hybrid γ-butyrolactone pathway,,,0,0,0,1,0
M4-FUNG-0358,BGC0002198,Aspergillus terreus var. terreus,nanangelenin B; terreazepine,NRPS (Type I); kynurenine-incorporating benzazepine/benzodiazepine alkaloid pathway,,,0,0,0,1,0
M4-FUNG-0359,BGC0002199,Aspergillus nanangensis,nanangelenin A,other (other) in MIBiG; NRPS-centered benzazepine alkaloid pathway,,,0,0,0,1,0
M4-FUNG-0360,BGC0002200,Calcarisporium arbuscula,"aurovertin A, D, E, J and M in MIBiG; aurovertin E mechanistically reconstructed",PKS (Unknown); highly reduced polyketide α-pyrone pathway,,,0,0,0,1,0
M4-FUNG-0361,BGC0002201,Bipolaris victoriae FI3; defining paper uses historical Cochliobolus victoriae nomenclature,victorin,ribosomal (RiPP); highly modified cyclic hexapeptide,,,0,0,0,1,0
M4-FUNG-0362,BGC0002202,Bipolaris victoriae FI3; historical Cochliobolus victoriae in defining literature,victorin,ribosomal (RiPP); multicopy/dispersed victorin programme,,,0,0,0,1,0
M4-FUNG-0363,BGC0002203,Beauveria bassiana ARSEF 2860,beauverolide Ba; beauverolide Ka; beauverolide Ca,NRPS (Type I); PKS (Unknown); other (other); cyclodepsipeptide pathway,,,0,0,0,1,0
M4-FUNG-0364,BGC0002204,Aspergillus flavipes; defining study strain CNL-338,flavichalasine F; flavichalasine G; aspochalasin C; aspochalasin E; aspochalasin M; TMC-169; aspergillin PZ,PKS (Unknown); NRPS (Type I); leucine-containing cytochalasan pathway,,,0,0,0,1,0
M4-FUNG-0365,BGC0002205,Parastagonospora nodorum SN15,phomacin D; phomacin E,PKS (Unknown); NRPS (Type I); PKS-NRPS cytochalasan pathway,,,0,0,0,1,0
M4-FUNG-0366,BGC0002206,Trichoderma guizhouense,harziphilone; t22azaphilone; isoharziphilone-1; isoharziphilone-2; compound 4; compound 1 (trigazaphilone family),PKS (Unknown); azaphilone pathway with two cluster PKSs,,,0,0,0,1,0
M4-FUNG-0367,BGC0002207,Psilocybe cyanescens,psilocybin,other (other); tryptophan-derived indole alkaloid pathway,,,0,0,0,1,0
M4-FUNG-0368,BGC0002208,Aspergillus ustus,oxepinamide F,NRPS (Type I); anthranilate-containing oxepinamide pathway,,,0,0,0,1,0
M4-FUNG-0369,BGC0002209,Aspergillus ustus,ustethylin A,PKS (Unknown); phenethyl polyketide pathway,,,0,0,0,1,0
M4-FUNG-0370,BGC0002210,Aspergillus violaceofuscus CBS 115571,pyranoviolin A,PKS (Unknown); NRPS (Type I); PKS-NRPS pyranonigrin-related pathway,,,0,0,0,1,0
M4-FUNG-0371,BGC0002211,Paraphaeosphaeria sporulosa,HEx-pks1 polyketide,PKS (Unknown),,,0,0,0,1,0
M4-FUNG-0372,BGC0002212,Moniliophthora roreri MCA 2997,orsellinic acid,PKS (Unknown); orsellinic-acid polyketide pathway,,,0,0,0,1,0
M4-FUNG-0373,BGC0002213,Punctularia strigosozonata HHB-11173 SS5,"HEx-pks16 polyketide; defining study compounds 7 and 8, novel N,S-bis-acylated amino acids",PKS (Unknown); basidiomycete polyketide pathway,,,0,0,0,1,0
M4-FUNG-0374,BGC0002214,,,,,,0,0,0,1,0
M4-FUNG-0375,BGC0002215,,,,,,0,0,0,1,0
M4-FUNG-0376,BGC0002216,,,,,,0,0,0,1,0
