gene_key,dossier_id,gene_id,gene_name,protein_accession,start_bp,end_bp,strand,predicted_function_raw,demonstrated_function_raw,perturbation_raw,phenotype_raw,source_ids,note,source_row
M4-FUNG-0019:G013,M4-FUNG-0019,G013,avfA,AAZ95014.1,31512.0,32481.0,-,averufin oxidase / aflatoxin-pathway homolog,pathway-associated oxidative enzyme,NR,NR,S001; S002,,116
M4-FUNG-0019:G014,M4-FUNG-0019,G014,cypA / legacy pksA-region P450,AAZ95016.1,33426.0,35065.0,-,cytochrome P450 monooxygenase,pathway-associated oxidative tailoring by homology,NR,NR,S001; S002,Legacy nomenclature differs from later genome-level CypX usage.,117
M4-FUNG-0019:G015,M4-FUNG-0019,G015,pksA,AAZ95017.1,35725.0,43028.0,+,nonreducing iterative type I polyketide synthase,essential first committed dothistromin scaffold synthesis,targeted inactivation,dothistromin absent; mutant retains ability to convert exogenous aflatoxin precursors into dothistromin,S001; S002,Direct causal core-enzyme evidence.,118
M4-FUNG-0019:G016,M4-FUNG-0019,G016,DS19,ABS57489.1,44647.0,45717.0,+,hypothetical protein,NR,,,S001,MIBiG flank.,119
M4-FUNG-0019:G017,M4-FUNG-0019,G017,DS18,ABS57490.1,46255.0,47873.0,-,hypothetical protein,NR,,,S001,MIBiG flank.,120
M4-FUNG-0019:G018,M4-FUNG-0019,G018,DS17,ABS57491.1,48643.0,49797.0,+,hypothetical protein,NR,,,S001,MIBiG flank.,121
M4-FUNG-0019:G019,M4-FUNG-0019,G019,DS16,ABS57492.1,50234.0,51859.0,+,hypothetical protein,NR,,,S001,MIBiG flank.,122
M4-FUNG-0019:G020,M4-FUNG-0019,G020,DS15,ABS57493.1,52092.0,52825.0,-,hypothetical protein,NR,,,S001,MIBiG flank / partial at record end.,123
M4-FUNG-0019:G021,M4-FUNG-0019,G021,Ver1 / dotA,outside BGC0000048,,,NR,ketoreductase homologous to aflatoxin ver-1/stcU,required for efficient dothistromin biosynthesis,targeted replacement,dothistromin severely impaired; versicolorin A accumulates,S003; S006,Located in separate chromosome-12 mini-cluster; historical dotA name.,124
M4-FUNG-0019:G022,M4-FUNG-0019,G022,DotC,outside BGC0000048,,,NR,MFS transporter,exact role in dothistromin efflux not conclusively demonstrated,deletion/overexpression/GFP localization,no conclusive evidence for obligatory toxin efflux,S003; S011,Useful caution against transporter annotation = proven export.,125
M4-FUNG-0019:G023,M4-FUNG-0019,G023,Est1,outside BGC0000048,,,NR,esterase / pathway-associated candidate,pathway-associated by dispersed-locus mapping,NR,NR,S006,Sixth-locus component in fragmented programme models.,126
M4-FUNG-0019:G024,M4-FUNG-0019,G024,DsAflR,outside BGC0000048,,,NR,Zn2Cys6 pathway transcription factor,coordinates expression of dispersed dothistromin genes,targeted deletion / CRISPR disruption,dothistromin drastically reduced but residual product may remain; multiple dispersed genes downregulated,S007; S014,Central regulator of physically separated loci.,127
M4-FUNG-0019:G025,M4-FUNG-0019,G025,DsAflJ,outside BGC0000048,,,NR,AflJ/AflS-like pathway co-regulator,regulates dothistromin biosynthesis,targeted functional study,pathway output altered,S006,Keep distinct from AflR.,128
M4-FUNG-0019:G026,M4-FUNG-0019,G026,OrdB,outside BGC0000048,,,NR,aflatoxin-pathway oxidoreductase homolog,predicted/known dothistromin-pathway component,NR,NR,S006,VbsA mini-cluster.,129
M4-FUNG-0019:G027,M4-FUNG-0019,G027,AvnA,outside BGC0000048,,,NR,cytochrome P450 monooxygenase homolog,predicted/known dothistromin-pathway component,NR,NR,S006,VbsA mini-cluster.,130
M4-FUNG-0019:G028,M4-FUNG-0019,G028,HexB,outside BGC0000048,,,NR,fatty-acid-synthase subunit homolog,starter-unit biosynthesis component,targeted pathway/virulence mutant context,dothistromin deficiency in pathway mutant context,S006; S008,VbsA mini-cluster.,131
M4-FUNG-0019:G029,M4-FUNG-0019,G029,HexA,outside BGC0000048,,,NR,fatty-acid-synthase subunit homolog,starter-unit biosynthesis component,targeted mutant used in virulence study,dothistromin-deficient phenotype; reduced full virulence,S006; S008,VbsA mini-cluster.,132
M4-FUNG-0019:G030,M4-FUNG-0019,G030,HypC,outside BGC0000048,,,NR,hypothetical pathway-associated protein,predicted/known dispersed pathway member,NR,NR,S006,VbsA mini-cluster.,133
M4-FUNG-0019:G031,M4-FUNG-0019,G031,VbsA,outside BGC0000048,,,NR,versicolorin B synthase,required dothistromin pathway enzyme,targeted deletion,dothistromin-deficient mutant; used in pine virulence studies,S004; S008,Separate chromosome-12 mini-cluster.,134
M4-FUNG-0019:G032,M4-FUNG-0019,G032,Nor1,outside BGC0000048,,,NR,norsolorinic-acid reductase homolog,predicted/known dothistromin pathway enzyme,NR,NR,S006,Telomere-proximal Nor1 mini-cluster.,135
M4-FUNG-0019:G033,M4-FUNG-0019,G033,AdhA,outside BGC0000048,,,NR,alcohol dehydrogenase,pathway-associated,NR,NR,S006,Nor1 mini-cluster.,136
M4-FUNG-0019:G034,M4-FUNG-0019,G034,VerB,outside BGC0000048,,,NR,desaturase / aflatoxin-pathway homolog,pathway-associated,NR,NR,S006,Nor1 mini-cluster.,137
M4-FUNG-0019:G035,M4-FUNG-0019,G035,NorB,chromosome 11 / outside BGC0000048,,,NR,aflatoxin-pathway reductase homolog,AflR-responsive candidate dothistromin-pathway component,ΔDsAflR transcript comparison,~24-fold lower expression in ΔDsAflR,S007,Important evidence that functional programme may extend beyond chromosome 12.,138
M4-FUNG-0020:G001,M4-FUNG-0020,G001,AN7907.2,EAA59561.1,122623.0,123174.0,-,hypothetical protein,not required for orsellinic acid/F9775 under local deletion analysis,targeted deletion,OA/F9775 retained,S001; S003,MIBiG locus member but not functionally necessary for target products.,104
M4-FUNG-0020:G002,M4-FUNG-0020,G002,AN7908.2,EAA59562.1,126507.0,127484.0,-,hypothetical protein,not required for orsellinic acid/F9775 under local deletion analysis,targeted deletion,OA/F9775 retained,S001; S003,,105
M4-FUNG-0020:G003,M4-FUNG-0020,G003,orsA / AN7909 (older AN7909.4),EAA59563.1,128096.0,134597.0,-,nonreducing iterative type I PKS; SAT–KS–AT–PT–ACP–ACP–TE/CYC,necessary and evidently sufficient for orsellinic-acid synthesis; essential for F9775 pathway,targeted deletion; bacterial-coculture knockout; chromatin-activated knockout,"orsellinic acid, F9775A/B and lecanoric acid lost when orsA absent",S001; S003; S004; S005,Central scaffold gene.,106
M4-FUNG-0020:G004,M4-FUNG-0020,G004,AN7910.2,EAA59564.1,135422.0,136114.0,+,NTF2-like superfamily protein,not required for target products in local deletion analysis,targeted deletion,OA/F9775 retained,S001; S003,,107
M4-FUNG-0020:G005,M4-FUNG-0020,G005,orsB / AN7911,EAA59565.1,136228.0,137290.0,-,decarboxylase/aminohydrolase-like protein,required for F9775A/B but not orsellinic acid,targeted deletion,F9775A/B lost; orsellinic acid retained; gerfelin and C10-deoxygerfelin accumulate,S001; S003,Biochemical branch localized downstream of OrsA.,108
M4-FUNG-0020:G006,M4-FUNG-0020,G006,orsC / AN7912,EAA59566.1,137660.0,138834.0,+,tyrosinase/monooxygenase-like protein,required for F9775A/B but not orsellinic acid,targeted deletion,F9775A/B lost; orsellinic acid retained; diorcinol accumulates,S001; S003,,109
M4-FUNG-0020:G007,M4-FUNG-0020,G007,orsD / AN7913,EAA59567.1,139355.0,140860.0,-,conserved hypothetical protein,co-induced under activation but dispensable for OA/F9775A/B in deletion assay,targeted deletion; transcript induction,target compounds retained,S001; S003; S007,Direct co-expression ≠ necessity case.,110
M4-FUNG-0020:G008,M4-FUNG-0020,G008,orsE / AN7914,EAA59568.1,141414.0,142516.0,+,putative alcohol dehydrogenase,co-induced under activation but dispensable for OA/F9775A/B in deletion assay,targeted deletion; transcript induction,target compounds retained,S001; S003; S007,,111
M4-FUNG-0020:G009,M4-FUNG-0020,G009,AN7915.2,EAA59569.1,142746.0,146016.0,-,putative glucosidase,upregulated in cclAΔ but not required for OA/F9775A/B,targeted deletion; chromatin-induced transcript,target compounds retained,S001; S003; S005,,112
M4-FUNG-0020:G010,M4-FUNG-0020,G010,AN7916.2,EAA59570.1,147256.0,149174.0,-,hypothetical protein,no demonstrated requirement for target products,targeted neighborhood analysis,target compounds retained / no required phenotype,S001; S003,MIBiG locus edge.,113
M4-FUNG-0020:G011,M4-FUNG-0020,G011,cclA (extra-cluster),NR,,,NR,COMPASS-complex H3K4 methylation component,loss derepresses ors locus and F9775 production,cclA deletion,cryptic-cluster transcription/product activation,S005; S009,Global chromatin regulator; not a BGC gene.,114
M4-FUNG-0020:G012,M4-FUNG-0020,G012,gcnE (extra-cluster),NR,,,NR,SAGA/ADA H3 acetyltransferase,required for bacteria-induced ors activation and for ΔveA ors activation,gene deletion,ors transcription/product induction lost in relevant activation contexts,S006; S007,,115
M4-FUNG-0020:G013,M4-FUNG-0020,G013,adaB (extra-cluster),NR,,,NR,SAGA/ADA complex component,required for S. rapamycinicus induction of ors programme,gene deletion,bacteria-induced OA/lecanoric-acid production strongly impaired/lost,S006,,116
M4-FUNG-0020:G014,M4-FUNG-0020,G014,veA (extra-cluster),NR,,,NR,Velvet-family global regulator,negative regulator of ors programme in tested background,gene deletion,strong increase in OA/F9775 and ors transcription,S007,,117
M4-FUNG-0020:G015,M4-FUNG-0020,G015,mvlA (extra-cluster),NR,,,NR,modulator of VeA loss / negative ors regulator,overexpression suppresses ΔveA and ΔcclA pathway activation,overexpression/deletion,F9775 reduced in activated backgrounds,S007,,118
M4-FUNG-0021:G001,M4-FUNG-0021,G001,FUM21,ABQ95367.1,18839.0,21433.0,+,GAL4-like Zn(II)2Cys6 pathway-specific transcription factor,major positive activator of FUM transcription,targeted deletion + complementation,fumonisins undetectable in deletion mutants; FUM1/FUM8 transcripts greatly reduced; complementation restores product,S001; S005,,104
M4-FUNG-0021:G002,M4-FUNG-0021,G002,FUM1 / historical FUM5,AAD43562.2,22097.0,30259.0,+,highly reducing iterative type I PKS,assembles linear polyketide precursor/backbone,targeted disruption,fumonisin production abolished; field pathogenicity retained,S001; S003; S004; S006,Historical gene was first named FUM5/FUM1 mapping locus; retain synonym.,105
M4-FUNG-0021:G003,M4-FUNG-0021,G003,FUM6,AAG27132.1,30698.0,34290.0,-,cytochrome P450 monooxygenase,early oxidation after Fum8-dependent amination,targeted disruption + intermediate analysis,no normal fumonisins; early hydroxylated aminopolyol intermediates accumulate,S001; S006; S017,,106
M4-FUNG-0021:G004,M4-FUNG-0021,G004,FUM7,AAG27129.1,34828.0,36102.0,+,dehydrogenase/reductase involved in tricarballylic-acid arm synthesis,required for normal tricarballylic-ester chemistry,targeted deletion,novel fumonisin homologue with unsaturation in tricarballylic moieties,S001; S007,,107
M4-FUNG-0021:G005,M4-FUNG-0021,G005,FUM8,AAG27130.3,36298.0,39233.0,-,alpha-oxoamine synthase,condenses polyketide precursor with L-alanine to introduce the amino group,targeted disruption + mutant coculture,fumonisins abolished; early-pathway ordering places Fum8 after Fum1 and before Fum6,S001; S006; S019,,108
M4-FUNG-0021:G006,M4-FUNG-0021,G006,FUM3 / historical genetic Fum3 locus; earlier cloned-gene literature used FUM9,AAG27131.1,40012.0,40914.0,-,2-ketoglutarate-dependent dioxygenase,final C5 hydroxylation controlling B1/B2 versus B3/B4 pattern,targeted gene disruption/complementation,C5-hydroxylated congeners lost; historical Fum3 locus complemented,S001; S020,Current MIBiG uses FUM3.,109
M4-FUNG-0021:G007,M4-FUNG-0021,G007,FUM10,AAN74813.2,41389.0,43174.0,+,acyl-CoA ligase-related enzyme,required for tricarballylic-acid ester arm formation,targeted deletion,hydrolyzed fumonisin-like products lacking tricarballylic esters,S001; S007,,110
M4-FUNG-0021:G008,M4-FUNG-0021,G008,FUM11,AAN74814.2,43573.0,44736.0,-,mitochondrial/tricarboxylate transporter,supplies tricarboxylate precursor needed for ester-arm formation,targeted deletion,fumonisins with incomplete tricarballylic esterification,S001; S007; S008,,111
M4-FUNG-0021:G009,M4-FUNG-0021,G009,FUM2,AAN74815.2,45264.0,46998.0,+,cytochrome P450 monooxygenase,C10 hydroxylation; major determinant of B- versus C-series/congener chemistry,natural variation and ortholog-comparison evidence,altered hydroxylation/congener profile when function differs,S001; S012; S019,,112
M4-FUNG-0021:G010,M4-FUNG-0021,G010,FUM13,AAN74816.1,47834.0,48943.0,+,short-chain dehydrogenase/reductase,reduces C3 carbonyl to hydroxyl,targeted deletion,~10% WT B-series remains; C3-keto fumonisin analogues accumulate,S001; S018,Residual activity implies partial redundancy outside FUM13.,113
M4-FUNG-0021:G011,M4-FUNG-0021,G011,FUM14,AAN74817.2,49320.0,51269.0,-,bidomain NRPS-like condensation/PCP protein,attaches two tricarballylic-acid esters to hydrolyzed fumonisin backbone,targeted deletion + purified-enzyme assay,hydrolyzed fumonisins accumulate; enzyme directly esterifies precursors in vitro,S001; S007; S021,Unusual C-O bond formation by NRPS condensation domain.,114
M4-FUNG-0021:G012,M4-FUNG-0021,G012,FUM15,AAN74818.2,51847.0,53702.0,+,cytochrome P450 monooxygenase,modern evidence supports self-protection/detoxification-related function rather than obligatory canonical biosynthesis,deletion/overexpression in Fusarium and yeast,extracellular FB1 levels and survival/ceramide-related phenotypes altered,S001; S009,,115
M4-FUNG-0021:G013,M4-FUNG-0021,G013,FUM16,AAN74819.2,53848.0,56070.0,-,palmitoyl-CoA ligase,supports sphingolipid synthesis/self-protection together with Fum18,old biosynthetic deletion + modern enzyme/localization study,older deletion had no apparent fumonisin-production phenotype; modern work demonstrates palmitoyl-CoA ligase activity and self-protection role,S001; S007; S009,,116
M4-FUNG-0021:G014,M4-FUNG-0021,G014,FUM17,AAN74820.1,56453.0,57688.0,+,ceramide-synthase homolog,potentially contributes to ceramide biosynthesis/self-protection via partner interaction,single/double deletion + yeast complementation,not required for FB1 biosynthesis; partial ceramide-synthase functionality with Cer3 partner,S001; S008,,117
M4-FUNG-0021:G015,M4-FUNG-0021,G015,FUM18,AAN74821.1,57801.0,59324.0,-,functional ceramide synthase,supplements ceramide biosynthesis and confers self-protection against FB1,gene deletion + yeast complementation + cell-viability assays,"FB1 production remains, but resistance/self-protection decreases; fully complements yeast CerS deficiency",S001; S008,,118
M4-FUNG-0021:G016,M4-FUNG-0021,G016,FUM19,AAN74822.1,59620.0,64425.0,+,ATP-binding cassette transporter,negative regulator/feedback controller of FUM cluster; obligatory export function not demonstrated,"deletion, overexpression and ATP-binding point mutations",deletion raises FUM expression and intra/extracellular FB1; overexpression reduces product; ATP-domain mutants fail to complement,S001; S008,Do not annotate simply as exporter.,119
M4-FUNG-0022:G001,M4-FUNG-0022,G001,fum21,ACB12566.1,2798.0,5386.0,+,Zn2Cys6 pathway transcription factor,positive FUM-cluster regulator by conserved Fusarium function,orthology/conserved cluster context,direct O-1890 knockout NR,S001; S004,,104
M4-FUNG-0022:G002,M4-FUNG-0022,G002,fum1,ACB12550.1,7418.0,15569.0,+,highly reducing iterative PKS,fumonisin polyketide-backbone synthesis,conserved Fusarium genetics/biochemistry,direct O-1890 knockout NR,S001; S004,,105
M4-FUNG-0022:G003,M4-FUNG-0022,G003,fum6,ACB12553.1,15974.0,19590.0,-,cytochrome P450 monooxygenase,early backbone oxidation,conserved Fusarium functional evidence,direct O-1890 knockout NR,S001; S004,,106
M4-FUNG-0022:G004,M4-FUNG-0022,G004,fum7,ACB12554.1,20143.0,21402.0,+,dehydrogenase/reductase,tricarballylic-ester-arm biosynthesis,conserved Fusarium functional evidence,direct O-1890 knockout NR,S001; S004,,107
M4-FUNG-0022:G005,M4-FUNG-0022,G005,fum8,ACB12555.1,21605.0,24459.0,-,alpha-oxoamine synthase,condenses Fum1 polyketide with glycine in FC biosynthesis; determines B-versus-C series specificity,cross-species complementation + site-directed mutagenesis,wild-type FoFUM8 drives FC production; V580A switches output predominantly toward FBs,S001; S003; S004,Valine 580 is the key FC-associated residue.,108
M4-FUNG-0022:G006,M4-FUNG-0022,G006,fum3,ACB12552.1,25435.0,26337.0,-,2-ketoglutarate-dependent dioxygenase,fumonisin-backbone hydroxylation,conserved Fusarium functional evidence,direct O-1890 knockout NR,S001; S004,,109
M4-FUNG-0022:G007,M4-FUNG-0022,G007,fum10,ACB12556.1,26806.0,28668.0,+,acyl-CoA ligase-related enzyme,tricarballylic-ester-arm biosynthesis,conserved Fusarium functional evidence,direct O-1890 knockout NR,S001; S004,,110
M4-FUNG-0022:G008,M4-FUNG-0022,G008,fum11,ACB12557.1,29064.0,30234.0,-,mitochondrial TCA/tricarboxylate transporter,supplies tricarboxylate precursor for fumonisin esterification,conserved Fusarium function,direct O-1890 knockout NR,S001; S004,,111
M4-FUNG-0022:G009,M4-FUNG-0022,G009,fum2,ACB12551.1,30746.0,32439.0,+,cytochrome P450 monooxygenase,9/10-hydroxylation controlling FC/FB congener patterns,conserved Fusarium function,direct O-1890 knockout NR,S001; S004,Presence is consistent with hydroxylated FC1/FC3 formation.,112
M4-FUNG-0022:G010,M4-FUNG-0022,G010,fum13,ACB12558.1,33317.0,34420.0,+,short-chain dehydrogenase/reductase,C3 carbonyl reduction,conserved Fusarium function,direct O-1890 knockout NR,S001; S004,,113
M4-FUNG-0022:G011,M4-FUNG-0022,G011,fum14,ACB12559.1,34791.0,36744.0,-,bidomain NRPS-like condensation/PCP enzyme,attaches tricarballylic esters,conserved Fusarium biochemical evidence,direct O-1890 knockout NR,S001; S004,,114
M4-FUNG-0022:G012,M4-FUNG-0022,G012,fum15,ACB12560.1,37203.0,39063.0,+,cytochrome P450 monooxygenase,not required for hydroxy-FC1 hydroxylation,targeted O-1890 deletion in 2026,hydroxy-FC1 still produced after fum15 deletion,S001; S004,Important exclusion experiment.,115
M4-FUNG-0022:G013,M4-FUNG-0022,G013,fum16,ACB12561.1,39224.0,41447.0,-,palmitoyl-CoA-ligase-family protein,probable self-protection/sphingolipid-support role by Fusarium homolog function,orthology,direct O-1890 test NR,S001; S004,,116
M4-FUNG-0022:G014,M4-FUNG-0022,G014,fum17,ACB12562.1,41916.0,43137.0,+,ceramide-synthase homolog,putative/partial self-protection role; weaker than Fum18 in F. verticillioides,orthology,direct O-1890 test NR,S001; S004,,117
M4-FUNG-0022:G015,M4-FUNG-0022,G015,fum18,ACB12563.1,43248.0,44737.0,-,ceramide synthase,producer self-protection from fumonisin target mechanism by conserved Fusarium function,orthology,direct O-1890 test NR,S001; S004,,118
M4-FUNG-0022:G016,M4-FUNG-0022,G016,fum19,ACB12564.1,45063.0,49854.0,+,ABC transporter,cluster-associated transport/regulatory protein; direct O-1890 role unresolved,orthology,direct O-1890 test NR,S001; S004,Avoid assuming obligatory export.,119
M4-FUNG-0022:G017,M4-FUNG-0022,G017,cpm1,ACB12565.1,50651.0,52611.0,-,cytochrome P450 monooxygenase,cluster-adjacent function unresolved; candidate tailoring enzyme only,evolutionary association/annotation,no direct causal test curated,S001; S006,Do not assign hydroxy-FC1 formation without evidence.,120
M4-FUNG-0023:G001,M4-FUNG-0023,G001,fusA / FUS1,AAT28740.1,1.0,11857.0,+,iterative type I PKS–NRPS hybrid megasynthase,forms the fusarin polyketide-amino-acid scaffold; disruption abolishes fusarin production,targeted disruption in F. moniliforme and F. venenatum,fusarin-deficient strains,S001; S002,MIBiG's only encoded CDS.,104
M4-FUNG-0023:G002,M4-FUNG-0023,G002,FUS1 / FVEG_11086,NR,,,NR,F. verticillioides homolog of FusA; PKS–NRPS,required fusarin scaffold synthesis,genome-level knockout assignment,fusarin production lost,S007,Same core function as AY604568 fusA; separate genomic record/provenance.,105
M4-FUNG-0023:G003,M4-FUNG-0023,G003,FUS2 / FVEG_11085,NR,,,NR,alpha/beta-hydrolase-like multifunctional enzyme,"2-pyrrolidone ring formation, C15 oxidation and C13–C14 epoxidation in homologous F. fujikuroi pathway",single deletion / reconstitution logic,20-hydroxy-prefusarin accumulates; final fusarins lost,S003; S005,,106
M4-FUNG-0023:G004,M4-FUNG-0023,G004,FUS3 / FVEG_11084,NR,,,NR,elongation-factor-like protein,coexpressed but dispensable for canonical fusarin formation in F. fujikuroi,single deletion,fusarin production retained,S003; S005,,107
M4-FUNG-0023:G005,M4-FUNG-0023,G005,FUS4 / FVEG_11083,NR,,,NR,peptidase A1-like protein,coexpressed but dispensable for canonical fusarin formation,single deletion,fusarin production retained,S003; S005,,108
M4-FUNG-0023:G006,M4-FUNG-0023,G006,FUS5 / FVEG_11082,NR,,,NR,serine-hydrolase-family protein,coexpressed but dispensable for canonical fusarin formation,single deletion,fusarin production retained,S003; S005,,109
M4-FUNG-0023:G007,M4-FUNG-0023,G007,FUS6 / FVEG_11081,NR,,,NR,major facilitator superfamily transporter,not required for canonical fusarin formation in F. fujikuroi deletion assay,single deletion,fusarin production retained,S003; S005,Transport annotation does not establish obligatory export.,110
M4-FUNG-0023:G008,M4-FUNG-0023,G008,FUS7 / FVEG_11080,NR,,,NR,aldehyde dehydrogenase,coexpressed but dispensable for canonical fusarin formation,single deletion,fusarin production retained,S003; S005,,111
M4-FUNG-0023:G009,M4-FUNG-0023,G009,FUS8 / FVEG_11079,NR,,,NR,cytochrome P450 monooxygenase,performs two C20 oxidations in fusarin pathway,single deletion / overexpression / cocultivation,decarboxy-fusarin-type intermediate accumulates; required for final product,S003; S005,,112
M4-FUNG-0023:G010,M4-FUNG-0023,G010,FUS9 / FVEG_11078,NR,,,NR,methyltransferase,terminal methylation of carboxy-fusarin C to fusarin C,single deletion,carboxy-fusarin C accumulates,S003; S005,,113
M4-FUNG-0023:G011,M4-FUNG-0023,G011,FvSTUA (extra-cluster),NR,,,NR,APSES developmental transcription factor,positive regulator of FUS-cluster transcription in F. verticillioides,gene deletion + RNA-seq,all/most FUS genes strongly downregulated,S015,Pleiotropic developmental defects are a major confounder.,114
M4-FUNG-0024:G001,M4-FUNG-0024,G001,upstream ORF / ADI24961.1,ADI24961.1,326.0,1571.0,+,unknown,no demonstrated griseofulvin role,,,S001,Flanking CDS outside the 13-gene gsf set.,104
M4-FUNG-0024:G002,M4-FUNG-0024,G002,upstream ORF / ADI24962.1,ADI24962.1,1937.0,3246.0,-,unknown,no demonstrated griseofulvin role,,,S001,,105
M4-FUNG-0024:G003,M4-FUNG-0024,G003,upstream ORF / ADI24963.1,ADI24963.1,3547.0,4311.0,-,unknown,no demonstrated griseofulvin role,,,S001,,106
M4-FUNG-0024:G004,M4-FUNG-0024,G004,upstream ORF / ADI24964.1,ADI24964.1,6360.0,8546.0,+,unknown,no demonstrated griseofulvin role,,,S001,,107
M4-FUNG-0024:G005,M4-FUNG-0024,G005,gsfR2,ADI24952.1,9820.0,11067.0,-,GAL4-like Zn2Cys6 transcription factor,putative pathway regulator; P. aethiopicum-specific regulatory function unresolved,,,S001; S003,Comparative griseofulvin producers often lack cluster-local gsfR2.,108
M4-FUNG-0024:G006,M4-FUNG-0024,G006,gsfK,ADI24951.1,11558.0,12585.0,+,short-chain dehydrogenase/ketoreductase,dispensable for griseofulvin formation under tested conditions,targeted deletion,griseofulvin and dechlorogriseofulvin retained,S001; S004,,109
M4-FUNG-0024:G007,M4-FUNG-0024,G007,gsfR1,ADI24950.1,13037.0,15154.0,-,fungal-specific Zn2Cys6 transcription factor,putative pathway regulator; direct P. aethiopicum causal role unresolved,,,S001; S003,,110
M4-FUNG-0024:G008,M4-FUNG-0024,G008,gsfJ,ADI24949.1,16116.0,18146.0,+,MFS/EmrB-QacA-family transporter,putative export/resistance role; direct requirement unresolved,,,S001; S003,Do not assume obligatory export.,111
M4-FUNG-0024:G009,M4-FUNG-0024,G009,gsfI,ADI24948.1,18939.0,20914.0,+,flavin-dependent halogenase/chlorinase,regiospecific chlorination of griseophenone C to griseophenone B,targeted deletion + purified-enzyme assay,griseofulvin abolished; dechlorogriseofulvin retained/accumulates,S001; S003; S004,,112
M4-FUNG-0024:G010,M4-FUNG-0024,G010,gsfA,ADI24953.1,21525.0,27196.0,+,"nonreducing iterative type I PKS, SAT-KS-AT-PT-ACP",forms heptaketide benzophenone precursor from acetyl-CoA + six malonyl-CoA,targeted deletion + heterologous/purified enzyme,griseofulvin and dechlorogriseofulvin abolished; enzyme makes benzophenone precursor,S001; S003; S004,,113
M4-FUNG-0024:G011,M4-FUNG-0024,G011,gsfB,ADI24954.1,27654.0,29095.0,-,O-methyltransferase,3-OH methylation; helps suppress xanthone shunt formation,targeted deletion + coupled in-vitro assay,griseophenone E/F and desmethyl products accumulate,S001; S004,,114
M4-FUNG-0024:G012,M4-FUNG-0024,G012,gsfC,ADI24955.1,29983.0,31173.0,-,O-methyltransferase,9-OH methylation; critical for maintaining benzophenone on-pathway,targeted deletion + coupled in-vitro assay,griseophenone D/H and griseoxanthone C accumulate,S001; S004,,115
M4-FUNG-0024:G013,M4-FUNG-0024,G013,gsfD,ADI24956.1,31596.0,32896.0,+,O-methyltransferase,5-OH methylation of late grisan intermediate,targeted deletion + enzyme assay,desmethyl-dehydrogriseofulvin/desmethyl-griseofulvin products accumulate,S001; S004,,116
M4-FUNG-0024:G014,M4-FUNG-0024,G014,gsfE,ADI24957.1,33259.0,34392.0,-,short-chain dehydrogenase/reductase,stereospecific terminal enone reduction to griseofulvin/dechlorogriseofulvin,targeted deletion + NADPH-dependent enzyme assay,dehydrogriseofulvin/dechloro-dehydrogriseofulvin accumulate,S001; S004,,117
M4-FUNG-0024:G015,M4-FUNG-0024,G015,gsfF,ADI24958.2,35027.0,36729.0,+,cytochrome P450 monooxygenase,oxidative phenolic coupling forming the grisan/oxa-spiro scaffold,targeted deletion + purified enzyme / mechanistic assay,griseophenone-type precursors accumulate; spirocycle formation lost,S001; S004; S008,,118
M4-FUNG-0024:G016,M4-FUNG-0024,G016,gsfG,ADI24959.1,36846.0,37878.0,-,ankyrin-repeat protein,function unresolved; not part of seven-enzyme chemical core,,,S001; S003; S005,,119
M4-FUNG-0024:G017,M4-FUNG-0024,G017,gsfH,ADI24960.1,40829.0,41717.0,+,YcaC-related amidohydrolase / putative isochorismatase-like protein,dispensable for griseofulvin formation under tested conditions,targeted deletion,griseofulvin/dechlorogriseofulvin retained,S003; S004,,120
M4-FUNG-0024:G018,M4-FUNG-0024,G018,downstream ORF / ADI24965.1,ADI24965.1,42603.0,44954.0,-,unknown,no demonstrated griseofulvin role,,,S001,,121
M4-FUNG-0024:G019,M4-FUNG-0024,G019,downstream ORF / ADI24966.1,ADI24966.1,48793.0,49599.0,-,unknown,no demonstrated griseofulvin role,,,S001,,122
M4-FUNG-0024:G020,M4-FUNG-0024,G020,downstream ORF / ADI24967.1,ADI24967.1,50369.0,51714.0,+,unknown,no demonstrated griseofulvin role,,,S001,,123
M4-FUNG-0024:G021,M4-FUNG-0024,G021,downstream ORF / ADI24968.1,ADI24968.1,52308.0,54575.0,+,unknown,no demonstrated griseofulvin role,,,S001,,124
M4-FUNG-0025:G001,M4-FUNG-0025,G001,hpm1,ACD39751.1,149.0,1980.0,-,cytochrome P450 monooxygenase,hydroxylates DHZ-derived RAL intermediate in heterologous yeast; exact hydroxyl position only partly assigned,heterologous coexpression with Hpm3/Hpm8,DHZ-derived +16 Da hydroxylated product,S001; S003,Likely one of the late side-chain hydroxylations; exact full native role not completely resolved.,104
M4-FUNG-0025:G002,M4-FUNG-0025,G002,hpm2,ACD39752.1,3004.0,3793.0,+,glutathione S-transferase,"catalyzes 7′,8′ olefin cis/trans isomerization through glutathione-dependent chemistry",purified-enzyme assay,"equilibrates trans/cis RAL olefin, strongly favoring trans at equilibrium",S001; S003,Cannot alone explain why cis hypothemycin is the dominant native product.,105
M4-FUNG-0025:G003,M4-FUNG-0025,G003,hpm3,ACD39753.1,4283.0,10793.0,-,nonreducing iterative type I PKS,"accepts reduced starter from Hpm8, performs three extensions/aromatization and macrolactone release to DHZ",heterologous coexpression with hpm8,Hpm3+Hpm8 produce DHZ; either PKS alone produces none,S001; S003,,106
